stage_info_array1,stage_info_array2,stage_info_array3,stage_info_array4,stage_info_array5,stage_info_array6,stage_info_array7,stage_info_array8,stage_info_array9,stage_info_array10,stage_info_array11,stage_info_array12
PAV037,session1,693,0,35,108.5,67.5,211,176,693,510.710900473934,119.933628318584
PAV038,session1,355.5,107,46,240,47.5,440.5,287.5,462.5,214.66515323496,119.924623115578
PAV038,session2,387,122.5,40.5,144,81.5,388.5,225.5,509.5,238.146718146718,119.922630560928
PAV040,session1,282,31.5,29.5,307,0,368,307,313.5,208.695652173913,119.907692307692
PAV040,session2,199,66.5,28.5,229.5,79,403.5,308.5,265.5,177.397769516729,119.900414937759
PAV042,session1,208.5,20.5,37.5,228.5,100,386.5,328.5,229,183.803363518758,119.899159663866
PAV042,session2,176.5,137,21,131.5,140.5,430,272,313.5,167.860465116279,119.901071723001
PAV043,session1,97,53.5,36.5,531,59,680,590,150.5,136.058823529412,119.92277992278
PAV043,session2,217,15,63.5,399,68.5,546,467.5,232,166.153846153846,119.921363040629
PAV044,session1,256.5,134,47.5,211,0,392.5,211,390.5,196.738853503185,119.907550077042
PAV044,session2,587.5,106.5,44,211,19,380.5,230,694,303.390275952694,119.938016528926
PAV044,session3,281,92,11.5,46,110.5,260,156.5,373,247.615384615385,119.889094269871
PAV045,session1,166.5,87.5,29.5,352,83,552,435,254,155.108695652174,119.916492693111
PAV045,session2,241.5,49.5,18.5,274,94,436,368,291,184.816513761468,119.911439114391
PAV048,session1,154,95.5,37,376,17,525.5,393,249.5,152.083729781161,119.911699779249
PAV048,session2,166.5,29,69,324.5,42.5,465,367,195.5,157.806451612903,119.904988123515
PAV049,session1,82,0,118.5,440.5,33,592,473.5,82,135,119.910979228487
PAV049,session2,151,14,70,369,91.5,544.5,460.5,165,151.184573002755,119.913731128684
PAV049,session3,324,8.5,59,292,23.5,383,315.5,332.5,218.694516971279,119.91513437058
PAV051,session1,174,160.5,31,177,45,413.5,222,334.5,168.899637243047,119.897872340426
PAV051,session2,225,80,90,124,17,311,141,305,203.344051446945,119.888059701493
PAV053,session1,187,18,39,251.5,83.5,392,335,205,174.948979591837,119.896373056995
PAV053,session2,131.5,17.5,28,289.5,73,408,362.5,149,157.352941176471,119.888785912882
PAV054,session1,175,70.5,34.5,293,69,467,362,245.5,163.683083511777,119.906542056075
PAV054,session2,400,15,44,126,87.5,272.5,213.5,415,293.504587155963,119.910780669145
PAV054,session3,225.5,5.5,39,215.5,113,373,328.5,231,190.938337801609,119.899749373434
PAV055,session1,158.5,119,18.5,206,148.5,492,354.5,277.5,157.560975609756,119.907763259032
PAV055,session2,146,110,18,229.5,108,465.5,337.5,256,156.734693877551,119.901880621423
PAV055,session3,119,143.5,19,277,105,544.5,382,262.5,145.234159779614,119.909570459683
PAV056,session1,174.5,48.5,21,305.5,31.5,406.5,337,223,169.741697416974,119.896729776248
PAV056,session2,125.5,119.5,31.5,344.5,60.5,556,405,245,146.007194244604,119.91195891416
PAV057,session1,189,3.5,172,150.5,60,386,210.5,192.5,176.891191709845,119.895652173913
PAV057,session2,321,0,94.5,103,67.5,265,170.5,321,263.094339622641,119.897610921502
PAV057,session3,262.5,0,80,124.5,93,297.5,217.5,262.5,224.268907563025,119.892857142857
PAV057,session4,270.5,0,50,223.5,83.5,357,307,270.5,208.067226890756,119.90438247012
PAV058,session1,132,28.5,68.5,319,55.5,471.5,374.5,160.5,151.304347826087,119.90057995029
PAV058,session2,80.5,37,53,387.5,54,531.5,441.5,117.5,136.255879586077,119.901960784314
PAV060,session1,259.5,27,126,248.5,72.5,474,321,286.5,183.417721518987,119.918200408998
PAV060,session2,364,32.5,125,190.5,86,434,276.5,396.5,217.603686635945,119.924812030075
PAV062,session1,210,40.5,42,346,118,546.5,464,250.5,163.586459286368,119.920687376074
PAV062,session2,207,94,51.5,318,18,481.5,336,301,169.096573208723,119.912854030501
PAV064,session1,64.5,83,70,240,120.5,513.5,360.5,147.5,133.437195715677,119.896193771626
PAV064,session2,158,117,115.5,287.5,76.5,596.5,364,275,149.974853310981,119.920477137177
PAV064,session3,456.5,27.5,121,141,150,439.5,291,484,242.866894197952,119.933035714286
PAV065,session1,296,17.5,95,295.5,118.5,526.5,414,313.5,184.957264957265,119.927051671733
PAV065,session2,264,5.5,126.5,382.5,79,593.5,461.5,269.5,171.760741364785,119.930029154519
PAV067,session1,131.5,156.5,83,271,151,661.5,422,288,142.857142857143,119.924337957125
PAV067,session2,88.5,113.5,62,238,144.5,558,382.5,202,138.064516129032,119.907192575406
PAV069,session1,219,6,56,279,94,435,373,225,178.344827586207,119.908256880734
PAV069,session2,262,0,99,210,83.5,392.5,293.5,262,196.585987261146,119.908326967151
PAV069,session3,470,6.5,195.5,124.5,130.5,457,255,476.5,237.505470459519,119.935275080906
